supplier,customer,revenue_pct,start_date,end_date
Abbott Laboratories,Heska Corp.,6,2004-02-01 0:00:00,2004-04-21 0:00:00
Abbott Laboratories,Fuso Pharmaceutical Industries Ltd.,8,2004-02-01 0:00:00,2004-04-21 0:00:00
Acxiom Corp.,The Allstate Corp.,10.1,2003-04-03 0:00:00,2003-08-03 0:00:00
"Adobe Systems, Inc.",Tech Data Corp.,8,2010-02-25 0:00:00,2010-10-29 0:00:00
"Adobe Systems, Inc.",Tech Data Corp.,9,2009-04-29 0:00:00,2010-02-25 0:00:00
"Adobe Systems, Inc.",Tech Data Corp.,10,2007-03-21 0:00:00,2009-04-29 0:00:00
"Adobe Systems, Inc.","Ingram Micro, Inc.",11,2013-01-25 19:00:00,2014-01-22 14:00:00
"Adobe Systems, Inc.",Tech Data Corp.,11,2006-04-21 0:00:00,2007-03-21 0:00:00
"Adobe Systems, Inc.",Tech Data Corp.,13,2004-09-29 0:00:00,2006-04-21 0:00:00
"Adobe Systems, Inc.","Ingram Micro, Inc.",14,2012-01-27 18:00:00,2013-01-25 19:00:00
"Adobe Systems, Inc.",Tech Data Corp.,14,2003-04-03 0:00:00,2004-09-29 0:00:00
"Adobe Systems, Inc.","Ingram Micro, Inc.",15,2010-02-25 0:00:00,2010-10-29 0:00:00
"Adobe Systems, Inc.","Ingram Micro, Inc.",15,2011-01-29 0:00:00,2012-01-27 18:00:00
"Adobe Systems, Inc.","Ingram Micro, Inc.",18,2009-04-29 0:00:00,2010-02-25 0:00:00
"Adobe Systems, Inc.","Ingram Micro, Inc.",21,2008-04-09 0:00:00,2009-04-29 0:00:00
"Adobe Systems, Inc.","Ingram Micro, Inc.",23,2005-03-02 0:00:00,2006-04-21 0:00:00
"Adobe Systems, Inc.","Ingram Micro, Inc.",24,2007-03-21 0:00:00,2008-04-09 0:00:00
"Adobe Systems, Inc.","Ingram Micro, Inc.",26,2006-04-21 0:00:00,2007-03-21 0:00:00
"Adobe Systems, Inc.","Ingram Micro, Inc.",27,2003-04-03 0:00:00,2004-09-29 0:00:00
"Adobe Systems, Inc.","Ingram Micro, Inc.",28,2004-09-29 0:00:00,2005-03-02 0:00:00
"Diversicare Healthcare Services, Inc.",Government of the United States of America,27.3,2014-07-28 19:00:00,2015-05-18 19:00:00
"Diversicare Healthcare Services, Inc.",Government of the United States of America,27.5,2017-05-08 14:00:00,NULL
"Diversicare Healthcare Services, Inc.",Government of the United States of America,29,2016-04-29 14:00:00,2017-05-08 14:00:00
